agra;s.f.;agro
agra;s.f.;agro
agra;s.f.;agrar
albufeira;s.f.;albufeirar
aleixo;s.m.;aleixar
amado;adj. s.m.;amar
amares;adj.2g.;amar
amaro;adj.;amarar
amato;s.m.;amatar
americana;s.f.;americano
americana;s.f.;americano
antas;adj.;anta
antas;adj.;anta
antas;adj.;antar
argentina;adj. s.f.;argentino
argentina;adj. s.f.;argentino
argentina;adj. s.f.;argentinar
armando;s.m.;armar
augusta;s.f.;augusto
barquinha;s.f.;barca
barrancos;adj.; f. (ó); pl. (ó);barranco
barreiro;s.m.;barreirar
basto;adj. s.m.;bastar
bastos;s.m.pl.;basto
bastos;s.m.pl.;basto
boca;adj. s.2g. s.f.; cf. boca, fl. do v. bocar;bocar
brama;adj. s.2g. "birmã"; cf. brama;bramar
branca;s.f.;branco
branca;s.f.;branco
branca;s.f.;branquir
branco;adj. s.m.;branquir
brito;s.m.;britar
bruno;adj.;brunir
caio;s.m.;caiar
campos;adj. s.2g.; pl. campos-altenses;campo
carvalhos;adj.; f. (ó); pl. (ó);carvalho
castro;s.m.;castrar
cavaco;s.m.;cavacar
charles;s.m.2n.;charlar
chaves;s.f.;chave
china;adj. s.2g. s.f.;chinar
clara;s.f.;claro
clara;s.f.;claro
colegiada;s.f.;colegiado
colorado;adj. s.m.;colorar
correia;s.f.;correar
corvina;s.f.;corvino
corvina;s.f.;corvino
couto;s.m.;coutar
covas;s.f.pl.;covo
covas;s.f.pl.;cova
crespo;adj. s.m.; cf. crespo, fl. do v. crespar;crespar
cuba;s.m.f.;cubar
cunha;s.f.;cunhar
dos;s.f.;do
damas;s.f.pl.;dama
dias;s.m.pl.;dia
domingos;adj. s.2g.; pl. domingos-costenses;domingo
douro;s.m.;dourar
escritura;s.f.;escriturar
esgalhado;adj.;esgalhar
esparta;s.m.;espartir
estio;adj. s.m.;estiar
estrela;s.f.; cf. estrela, fl. do v. estrelar;estrelar
fia;s.f.;fiar
faria;adj. s.2g.; pl. faria-lemenses;fazer
faro;s.m.;farar
ferreira;s.f.;ferreiro
ferreira;s.f.;ferreiro
folha;s.f.; cf. folha, fl. do v. folhar;folhar
freire;s.m.;freirar
helena;s.f.;heleno
helena;s.f.;heleno
ira;s.f. "cólera"; cf. irá e irã;irar
jeremias;adj. s.2g.2n.;jeremiar
las;s.f.;ele
lima;s.m.f.;limar
lino;s.m.;lenir
los;s.m.;ele
luz;s.m.;luzir
luzia;adj. s.2g.;luzir
machado;s.m.;machadar
malaia;s.f.;malaio
malaia;s.f.;malaio
malta;s.f.;maltar
marcos;adj. s.2g.; pl. marcos-parentenses;marco
mariana;s.f.;mariano
mariana;s.f.;mariano
marina;s.f.;marino
marina;s.f.;marinar
marques;s.m.;marcar
marselhesa;s.f.;marselhês
marselhesa;s.f.;marselhês
matos;adj. s.m.;mato
melo;s.m.;melar
mira;s.m.f.;mirar
mitra;adj.2g. s.m.f.;mitrar
morgado;adj. s.m.;morgar
moura;s.f.;mouro
moura;s.f.;mouro
moura;s.f.;mourar
neva;s.f.;nevar
neves;adj. s.2g.; pl. neves-paulistenses;neve
neves;adj. s.2g.; pl. neves-paulistenses;nevar
opa;interj.; cf. opa s.f. e fl. do v. opar;opar
palermo;s.f.;palermar
palestina;s.f.;palestino
palestina;s.f.;palestino
parente;adj. s.2g.;parentar
paris;s.f.2n.;parir
pentecostes;s.m.2n.;pentecoste
pepino;s.m.;pepinar
pina;s.f. "açaí"; cf. pina;pinar
pinto;s.m.;pintar
pio;adj. s.m. "piedoso", etc.; cf. pió;piar
pires;s.m.2n.;pirar
poiares;adj. s.m.;poiar
pombeiro;adj. s.m.;pombeirar
porto;s.m.; pl. (ó); cf. porto, fl. do v. portar;portar
preciosa;s.f.;precioso
prometeu;s.m.;prometer
ramalho;s.m.;ramalhar
raposo;adj. s.m.;raposar
rebelo;s.m. "barco"; cf. rebelo s.m. e fl. do v. rebelar;rebelar
rego;s.m. "vala"; cf. regô s.m. e rego, fl. do v. regar;regar
reis;s.m.2n.;rei
remo;adj. s.2g. s.m.;remar
restelo;s.m.; cf. restelo, fl. do v. restelar;restelar
ribeiro;adj. s.m.;rio
ribeiro;adj. s.m.;ribeirar
rosa;adj.2g.2n. s.f.;rosar
rose;adj. s.2g. fr.</span><span class="palavra-estrangeira">estrangeira;rosar
rui;s.m.;ruir
sis;s.f.;si
